reef_name,region_lat,sector,start_year,event_year,target_year,end_year,nadir_year,final_year,gap_years,time_gap_years,sequence_type,sequence_type_primary,seq_category_main,seq_category,start_event_type,target_event_type,start_disturbance_type,target_disturbance_type,baseline_start_year,baseline_end_year,baseline_survey_n,baseline_hc,baseline_juv,baseline_algae,nadir_hc,nadir_juv,nadir_algae,final_hc,final_juv,final_algae,rel_loss,recovery_rate,recovery_pct,cots_lag_3yr,initial_cots,initial_herbivore,start_max_wind,start_max_dhw,target_max_wind,target_max_dhw,storm_exposure_seq,heat_exposure_seq,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status
Agincourt_Reef_No_1,-16.05227777777778,Central,1999,1999,,1999,1999,2003.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1994,1997,4,24.01114315145417,,0.7297023099500768,35.806982350624786,,1.002198314298449,37.20363552028287,,0.8352557003570543,-0.4912652065237565,0.3491632924145218,0.05816687530653878,0.0,0.0,37.88221213482073,19.857384,0.49,0.0,0.0,19.857384,0.49,-11.795839199170615,0,1.3966531696580873,1,,,non_impact
Agincourt_Reef_No_1,-16.05227777777778,Central,2014,2014,2016.0,2017,2017,2021.0,2.0,2.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Moderate),2009,2012,4,26.941623676363573,10.076334992154482,1.3097886016156055,12.949162076156034,19.852457096319664,4.271882521332042,23.91429529595699,14.365151581168542,3.34399228211633,0.519362224351883,2.741283304950239,0.40699600556817545,0.0,0.0,105.79105001832092,19.80906675466956,0.0,0.0,6.890000000000001,19.80906675466956,6.890000000000001,13.99246160020754,1,10.965133219800956,1,0.7836457610602496,1.0,recovered
Arlington_Reef,-16.67,Central,2016,2016,2017.0,2018,2018,,1.0,1.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2012,2014,2,16.73965874852992,16.12475557872026,2.502862838714818,10.813158237339104,7.243775970292797,4.86294036412335,,,,0.354039505835881,,,0.07666666666666667,0.13,59.332468242172204,0.0,4.58,0.0,10.87,0.0,15.45,5.926500511190815,1,,0,,,recovery_unobserved
Border_Island,-20.163497222222222,South,2003,2003,,2005,2005,2009.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1998,2001,4,26.10857843964611,,5.334992322980761,25.9025307125706,,0.0515073690432365,25.674580727897983,3.996381654581673,0.1015615038061861,0.007891955035078642,-0.05698749616815402,-0.008730846269533847,0.0,0.0,9.574345044909103,29.117304,0.0,0.0,0.0,29.117304,0.0,0.20604772707551078,0,-0.22794998467261607,1,,,non_impact
Border_Island,-20.163497222222222,South,2010,2010,2011.0,2013,2013,2017.0,1.0,1.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2005,2007,2,25.04682895148403,8.123516115590617,0.04843017508188445,29.175529693036413,15.248228356922798,0.3932288357620835,33.36956898999796,17.04148985607962,0.079258367748203,-0.16483925967433719,1.0485098242403863,0.16744791546608329,0.0,0.0,,29.117304,1.46,18.09499186687058,0.0,47.212295866870576,1.46,-4.128700741552382,0,4.194039296961545,1,,,non_impact
Border_Island,-20.163497222222222,South,2017,2017,,2019,2019,2023.0,,,Concurrent,Concurrent,Concurrent,Concurrent,Concurrent,,Synergistic Concurrent (Moderate),,2013,2015,2,30.009495133233777,14.328919468522432,0.244335922719451,18.946700216452733,3.236951763374205,0.1918065376450517,17.679960162084726,6.559077706124322,0.2339090404185777,0.3686431533641377,-0.31668501359200185,-0.04221130841235533,0.0,0.0,12.431885968523792,33.078492,6.71,0.0,0.0,33.078492,6.71,11.062794916781044,1,-1.2667400543680074,1,-0.11450452294351963,0.0,failed
Boult_Reef,-23.7575,South,2017,2017,,2020,2020,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2012,2014,2,13.194587944869662,23.93428245574315,0.7700792997984913,27.13760920513279,15.702031542092952,0.2206679315424072,,,,-1.0,,,0.02666666666666667,0.0,,0.0,4.04,0.0,0.0,0.0,4.04,-13.943021260263128,0,,0,,,non_impact
Boult_Reef,-23.7575,South,2024,2024,,2026,2026,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Severe),,2020,2021,2,44.127142534524594,15.702031542092952,0.2206679315424072,22.22131554683403,,,,,,0.4964252323964028,,,0.0,0.0,,0.0,11.48,0.0,0.0,0.0,11.48,21.905826987690563,1,,0,,,recovery_unobserved
Broomfield_Reef,-23.267013888888886,South,1992,1992,1994.0,1995,1995,1999.0,2.0,2.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,1988,1990,2,34.135588652341404,,,17.412699846744868,,0.9528660414322954,50.61824559788093,,0.8955668187432276,0.48989601368569025,8.301386437784014,0.9727544495957724,0.0,0.0,,18.51984,2.13,18.08293810852,0.0,36.60277810852,2.13,16.722888805596536,1,33.20554575113606,1,1.985634547783597,1.0,recovered
Broomfield_Reef,-23.267013888888886,South,2020,2020,2024.0,2026,2026,,4.0,4.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2015,2018,4,53.179332495792664,22.97415438794907,0.9751735128663698,16.127130702547838,,,,,,0.6967406331430777,,,0.0,0.0,39.57020462384767,0.0,6.9,0.0,11.6,0.0,18.5,37.052201793244826,1,,0,,,recovery_unobserved
